procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 0  0 7948012 131932  37988 1040284    0    0     0   128 2155 5785  3  3 93  0  0 2023-12-07 16:53:16
 4  0 7948012 133708  38020 1040564    0    0    44    34 2123 5713  3  3 92  1  0 2023-12-07 16:53:21
 0  0 7948012 133052  38028 1041156    0    0    25    82 2018 5427  4  3 92  1  0 2023-12-07 16:53:26
 0  0 7948012 139828  38036 1036256    0    0    36    14 2069 5656  3  3 93  1  0 2023-12-07 16:53:31
 2  0 7948012 133112  38044 1042728    9    0   253    30 2464 6870 17  3 77  3  0 2023-12-07 16:53:36
 0  0 7948012 138492  38052 1037148    0    0     0   166 2627 6557 35  3 61  1  0 2023-12-07 16:53:41
 0  0 7948012 133220  38332 1041324    0    0   914    30 2278 6550 10  3 81  7  0 2023-12-07 16:53:46
 0  0 7948012 146700  38356 1028608    0    0     6    38 2179 5791  3  4 92  1  0 2023-12-07 16:53:51
 0  0 7948012 146884  38364 1027732    0    0     0    14 2026 5424  3  3 93  0  0 2023-12-07 16:53:56
 0  0 7948012 146420  38372 1028584    0    0     0   185 2115 5572  3  3 92  1  0 2023-12-07 16:54:01
 1  0 7972016 127004  38364 1023860    5 4780     5  4786 2194 5547  8  4 87  2  0 2023-12-07 16:54:06
 0  0 7972016 203036  38268 1003224    0    7    55  2782 2094 5688  6  3 87  3  0 2023-12-07 16:54:11
 0  0 7972016 197052  38276 1008900    0    0     6    11 2139 5694  3  4 93  0  0 2023-12-07 16:54:16
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 1  0 7972016 195804  38300 1008900    0    0     0    26 2151 5684  3  3 93  1  0 2023-12-07 16:54:21
 0  0 7972016 196220  38308 1009032    0    0    42     9 2041 5430  3  3 93  1  0 2023-12-07 16:54:26
 0  0 7972016 197104  38316 1009188    0    0     0    54 2145 5707  3  3 93  0  0 2023-12-07 16:54:31
 0  0 7972016 196960  38324 1009532    0    0     0    51 2135 5640  3  4 93  0  0 2023-12-07 16:54:36
 0  0 7972016 196428  38332 1009288    0    0    29   511 2118 5510  3  3 93  0  0 2023-12-07 16:54:41
 0  0 7972016 195560  38340 1009424    0    0    26    18 2111 5507  3  3 93  0  0 2023-12-07 16:54:46
 0  0 7972016 195096  38372 1009384    0    0     0    30 2101 5604  3  3 93  1  0 2023-12-07 16:54:51
 1  0 7972016 196556  38380 1009384    0    0     0    10 2032 5413  3  3 93  0  0 2023-12-07 16:54:56
 0  0 7972016 200748  38388 1005072    0    0     0     6 2074 5500  3  3 94  0  0 2023-12-07 16:55:01
 2  0 7972016 200772  38396 1005080    0    0     0    33 2060 5477  3  3 94  0  0 2023-12-07 16:55:06
 0  0 7972016 197704  38404 1005256    0    0    55    38 3034 6031  5  4 91  1  0 2023-12-07 16:55:11
 2  0 7972016 189100  38412 1010864    0    0    74    11 2234 5800  3  3 93  1  0 2023-12-07 16:55:16
 0  0 7972016 190356  38444 1010764    0    0     0    32 2153 5669  3  3 93  1  0 2023-12-07 16:55:21
 0  0 7972016 190264  38452 1010728    0    0     0     9 2083 5500  3  3 93  0  0 2023-12-07 16:55:26
 1  0 7972016 189612  38460 1010752    1    0     1     3 2088 5522  3  3 93  1  0 2023-12-07 16:55:31
 0  0 7972016 189612  38468 1010752    0    0     0    50 2089 5506  4  3 93  0  0 2023-12-07 16:55:36
 0  0 7972016 189456  38492 1010772    0    0     0    95 2111 5562  3  4 92  1  0 2023-12-07 16:55:41
 0  0 7972016 191348  38500 1010928    0    0     0    15 2112 5549  3  3 93  0  0 2023-12-07 16:55:46
 0  0 7972016 191720  38524 1010852    0    0     0    26 2120 5623  3  3 93  1  0 2023-12-07 16:55:51
 1  0 7972016 191752  38532 1010852    0    0     1    10 2031 5410  3  3 94  1  0 2023-12-07 16:55:56
 0  0 7972016 192316  38548 1011116    0    0     0    10 2081 5480  3  3 93  1  0 2023-12-07 16:56:01
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 3  0 7972016 192620  38556 1011016    0    0     4     6 2072 5474  3  3 93  0  0 2023-12-07 16:56:06
 3  0 7972016 197208  38564 1005820    0    0     0     6 2205 5860  3  3 93  0  0 2023-12-07 16:56:11
 0  0 7972016 189832  38572 1010964    1    0    10   103 2556 6106  4  3 92  0  0 2023-12-07 16:56:16
 0  0 7972016 189412  38660 1010976    1    0     1    78 2210 5805  3  3 92  2  0 2023-12-07 16:56:21
 0  0 7972016 188544  38668 1010936    0    0     0     9 2103 5563  3  3 93  0  0 2023-12-07 16:56:26
 0  0 7972016 188296  38676 1010976    0    0     0     6 2049 5469  3  3 94  0  0 2023-12-07 16:56:31
 2  0 7972016 188140  38684 1011064    0    0    18     6 2089 5528  3  3 93  1  0 2023-12-07 16:56:36
 1  0 7972016 188016  38692 1011124    0    0    10     6 2069 5505  3  3 93  0  0 2023-12-07 16:56:41
 0  0 7972016 187148  38700 1011388    0    0     9    10 2113 5592  3  4 93  1  0 2023-12-07 16:56:46
 1  0 7972016 187024  38732 1011368    0    0     0    61 2149 5703  3  3 93  1  0 2023-12-07 16:56:51
 2  0 7972016 186836  38740 1011368    0    0     0    11 2067 5486  3  4 93  0  0 2023-12-07 16:56:56
 0  0 7972016 186564  38748 1011576    0    0     0    42 2100 5517  3  3 93  0  0 2023-12-07 16:57:01
 0  0 7972016 186716  38756 1011576    0    0     0    68 2078 5487  3  3 93  0  0 2023-12-07 16:57:06
 0  0 7972016 190544  38764 1006224    0    0     0    12 2086 5555  3  3 92  1  0 2023-12-07 16:57:11
 1  0 7972016 187212  38772 1011552    0    0    50     7 2175 5728  4  3 92  1  0 2023-12-07 16:57:16
 0  0 7972016 186500  38804 1011668    0    0     0    30 2147 5644  3  3 93  1  0 2023-12-07 16:57:21
 0  0 7972016 186624  38812 1011672    0    0     0    12 2056 5475  3  3 93  1  0 2023-12-07 16:57:26
 1  0 7972016 186656  38820 1011796    0    0    18    97 2097 5525  3  3 93  0  0 2023-12-07 16:57:31
 0  0 7972016 186656  38828 1011796    0    0     0     4 2068 5485  3  3 93  0  0 2023-12-07 16:57:36
 0  0 7972016 186656  38836 1011792    0    0     0     6 2086 5552  3  4 93  0  0 2023-12-07 16:57:41
 0  0 7972016 186656  38844 1011744    0    0     2     6 2224 5928  4  4 92  0  0 2023-12-07 16:57:46
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 0  0 7972016 184096  38876 1012376    0    0   134    31 2151 5695  3  3 91  2  0 2023-12-07 16:57:51
 2  0 7972016 184856  38884 1012456    0    0     0    79 2164 5674  3  3 94  0  0 2023-12-07 16:57:56
 0  0 7972016 184452  38892 1012648    0    0     0     7 2109 5618  4  3 93  0  0 2023-12-07 16:58:01
 0  0 7972016 184480  38900 1012648    0    0     0    98 2091 5464  3  3 93  0  0 2023-12-07 16:58:06
 0  0 7972016 189440  39032 1007384    0    0    24    42 2106 5566  4  3 93  0  0 2023-12-07 16:58:11
 0  0 7972016 182728  39040 1012600    0    0    32     6 2130 5613  3  3 93  1  0 2023-12-07 16:58:16
 0  0 7972016 183736  39072 1012788    0    0    22    34 2147 5713  3  3 93  1  0 2023-12-07 16:58:21
 0  0 7972016 183644  39080 1012736    0    0     0    11 2040 5422  3  3 93  0  0 2023-12-07 16:58:26
 1  0 7972016 183860  39088 1012736    0    0     0     3 2084 5551  3  3 93  0  0 2023-12-07 16:58:31
 0  0 7972016 183828  39096 1012736    0    0     0     4 2043 5475  3  3 94  0  0 2023-12-07 16:58:36
 0  0 7972016 183828  39104 1012768    0    0     0     6 2010 5361  3  3 93  0  0 2023-12-07 16:58:41
 3  0 7972016 183704  39112 1012760    0    0     0    97 2122 5548  3  3 93  0  0 2023-12-07 16:58:46
 2  0 7972016 183424  39144 1012720    0    0     0    30 2083 5560  3  3 93  1  0 2023-12-07 16:58:51
 0  0 7972016 183236  39152 1012740    0    0     0    11 2059 5439  3  3 93  0  0 2023-12-07 16:58:56
 0  0 7972016 186500  39160 1013012    0    0     0     3 2057 5451  3  4 93  0  0 2023-12-07 16:59:01
 0  0 7972016 181524  40712 1013656    1    0   390     7 2153 5577  3  3 90  4  0 2023-12-07 16:59:06
 1  0 7972016 188048  40720 1008452    0    0    27    33 2075 5505  3  4 93  1  0 2023-12-07 16:59:11
 0  0 7972016 182640  40728 1013624    0    0    14    50 2136 5591  3  4 93  0  0 2023-12-07 16:59:16
